MJD,FLT,FLUXCAL,FLUXCALERR,PHOTFLAG,PHOTPROB,ZPFLUX,PSF,SKYSIG,SKYSIG_T,GAIN,XPIX,YPIX,EXPNUM,CCDNUM,SNID,ACTION,COMMENT,TIME,USER,OBJID_COPY,BATCH
58390.13400000001,z,110.4,23.899,4096,0.465,31.21,1.872,102.0,39.1,0.93,1533.44,3955.97,778812,38,5505650,Other,super noisy and kinda bad sub on host but possibly good,04/13/20 22:02:46,ramorgan2,267986833.0,12
58482.167,r,118.03,4.2896,4096,0.388,33.082,1.933,48.2,46.6,1.04,1705.0,950.59,807332,53,5871242,Other,masking and saturated,04/13/20 22:04:33,ramorgan2,289399524.0,13
58380.304,i,88.17200000000004,9.2264,4098,0.445,31.707,1.887,57.5,23.7,0.99,2028.05,3838.51,775521,48,5494038,Other,masked,04/13/20 22:05:20,ramorgan2,266876735.0,13
58429.162,i,132.96,11.066,4608,0.31,31.685,1.845,69.8,24.8,1.02,2026.0,432.06,791658,47,5560096,Other,,04/13/20 22:03:45,ramorgan2,271813539.0,13
58429.158,r,377.99,11.325,4610,0.398,31.737,2.057,37.5,15.4,1.03,21.0,3323.13,791655,17,5913314,Other,masked,04/13/20 22:07:24,ramorgan2,292581830.0,13
58410.31,r,71.732,8.3488,4096,0.45,31.767,2.273,36.3,17.2,0.89,1112.14,23.57,785101,60,5530107,Other,masked,04/14/20 12:12:30,ramorgan2,269654279.0,14
58453.295,r,65.859,6.2871,4608,0.3,31.756,1.713,37.6,14.5,0.92,2021.44,3283.57,798347,38,5724629,Other,masked,04/14/20 12:14:58,ramorgan2,282968989.0,15
58437.27099999999,i,61.786,9.9067,4096,0.36,31.693,1.98,60.2,26.2,0.96,753.78,70.87,794175,24,5598997,Other,masked,04/14/20 12:15:21,ramorgan2,274833848.0,15
58380.33,r,40.541,9.1704,4098,0.341,31.766,3.0589999999999997,33.6,14.5,1.0,2022.04,3621.89,775539,46,5819080,Other,masked,04/15/20 13:12:30,ramorgan2,267066735.0,16
58466.05,i,30.053,5.6069,4096,0.4,33.232,2.005,120.9,97.6,0.94,1339.29,3863.01,802855,18,5805177,Other,masked,04/14/20 15:35:09,ramorgan2,285324281.0,16
58482.116,g,46.958,4.7928,4610,0.2,32.961,2.395,36.0,37.0,0.89,1838.29,2408.18,807319,10,5870740,Other,masked and saturated,04/17/20 11:09:23,ramorgan2,289262103.0,17
58450.324,i,625.12,73.999,4098,0.422,31.692,1.59,65.2,24.2,1.01,216.15,142.34,797221,54,5738973,Other,psf mismatch,04/17/20 11:10:41,ramorgan2,276550330.0,17
58480.166,z,58.865,16.885,4096,0.155,32.981,2.3209999999999997,162.9,186.6,0.95,76.09,3445.7,806762,40,5800404,Other,masked,04/15/20 13:14:41,ramorgan2,288444702.0,17
58456.235,g,59.869,7.1909,4098,0.385,31.638,3.091,18.6,9.6,1.03,21.78,3478.76,799374,43,5917980,Other,masked,04/15/20 13:17:12,ramorgan2,292712280.0,17
58409.348,i,117.41,10.517000000000001,4096,0.485,31.711,2.079,50.7,29.0,1.02,22.18,2571.43,784725,15,5524599,Other,masked,04/15/20 13:15:07,ramorgan2,269253117.0,17
58428.061,r,109.85,7.7594,4098,0.452,31.756,2.388,34.3,16.2,0.91,21.04,437.66,791193,5,5826764,Other,masked,04/17/20 11:16:19,ramorgan2,287642767.0,18
58453.295,r,26.795,5.2131,4096,0.395,31.756,1.713,37.6,14.5,0.92,1296.41,271.52,798347,38,5724627,Other,really lensy,04/15/20 13:27:40,ramorgan2,282968930.0,18
58453.308,r,34.424,4.7681,4096,0.568,31.745,1.67,36.4,15.6,0.96,1029.61,730.75,798356,23,5749513,Other,lensy template,04/17/20 11:13:24,ramorgan2,284140492.0,18
58375.225,i,109.39,10.795,4096,0.545,31.706,2.306,49.2,23.8,0.99,2024.51,3323.96,773321,44,5470248,Other,masked,04/17/20 11:13:00,ramorgan2,264984402.0,19
58452.348,i,64.86,8.109,4096,0.467,31.696,1.482,64.9,26.1,0.99,1026.24,4072.17,798003,23,5708740,Other,,04/17/20 11:21:06,ramorgan2,277235082.0,20
58483.193,i,50.034,10.302,4096,0.275,31.697,1.886,63.2,38.6,1.02,1222.65,393.31,807661,43,5879307,Other,maybe lensy,04/17/20 11:38:11,ramorgan2,290143138.0,20
58371.348,g,21.256,4.2317,4096,0.51,31.636,2.18,19.7,10.8,1.07,1897.93,3960.38,771589,17,5464256,Other,lensy,04/17/20 11:29:42,ramorgan2,264397886.0,21
58481.1,g,18.37,2.6885,4096,0.328,32.963,2.417,35.3,40.8,1.04,1773.99,990.83,807024,26,5870027,Other,lensy diff,04/17/20 11:32:41,ramorgan2,288815778.0,21
58392.171,r,364.62,10.206,4098,0.461,31.754,2.012,39.4,12.3,1.05,2027.87,1178.95,779550,49,5515672,Other,,04/17/20 11:32:57,ramorgan2,268034461.0,21
58448.122,i,76.801,7.9762,4096,0.355,31.701,1.406,61.2,23.6,0.98,2026.66,2527.82,796340,57,5670551,Other,,04/17/20 21:51:02,ramorgan2,274634226.0,21
58380.3,i,94.46700000000001,9.7106,4096,0.36,31.701999999999998,1.946,56.3,29.2,1.03,2027.85,671.52,775518,34,5492692,Other,masked,04/17/20 21:25:06,ramorgan2,266687595.0,22
58428.14599999999,r,28.527,5.4694,4096,0.37,31.746,2.056,30.6,15.3,1.05,1644.64,2252.62,791253,26,5854965,Other,lensy,05/01/20 11:42:21,ramorgan2,287101805.0,23
58459.32700000001,r,61.326,8.2228,4096,0.55,31.75800000000001,2.452,31.7,6.8,0.98,1019.61,1653.77,800513,36,5744780,Other,,04/17/20 21:39:44,ramorgan2,281824646.0,23
58481.1,g,20.141,3.2141,4608,0.18100000000000002,32.963,2.417,35.3,40.8,1.04,1843.06,1867.07,807024,26,5868820,Other,maybe lensy,04/17/20 21:44:10,ramorgan2,288822358.0,24
58466.102,r,61.14,6.6272,4096,0.39,31.746,1.952,36.3,15.1,1.03,192.01,4075.77,802881,17,5780981,Other,masked,04/17/20 21:54:26,ramorgan2,285471362.0,25
58461.045999999995,i,69.404,7.8345,4096,0.413,31.712,1.722,53.0,23.4,0.99,791.69,4075.67,801097,23,5716879,Other,masked,04/17/20 21:55:14,ramorgan2,282557707.0,25
58430.226,r,44.784,7.9018,4096,0.393,31.727,2.391,36.2,14.8,0.98,2025.26,2459.7,792096,57,5851837,Other,masked,04/23/20 13:00:00,ramorgan2,288032329.0,26
58459.316,g,29.146,5.81,4096,0.308,31.604,2.636,21.7,11.0,0.94,2027.49,578.77,800506,59,5711145,Other,masked,04/23/20 13:03:17,ramorgan2,282044409.0,26
58448.173,i,56.843,7.5895,4096,0.318,31.713,1.409,64.0,20.5,1.02,1394.42,4074.9,796374,49,5738636,Other,masked,04/23/20 13:07:57,ramorgan2,282961408.0,27
58392.346,z,79.393,19.887999999999998,4096,0.243,31.449,1.787,101.9,45.3,0.97,827.14,4072.15,779665,42,5817583,Other,masked,04/28/20 18:45:29,ramorgan2,268328992.0,28
58371.235,r,57.23,6.9616,4096,0.31,31.775,1.807,37.5,31.3,1.01,20.58,1891.37,771517,43,5458681,Other,masked,04/23/20 13:30:32,ramorgan2,263752205.0,30
58481.1,g,15.964,2.6136,4096,0.36,32.963,2.417,35.3,40.8,1.04,1002.78,375.9,807024,26,5869959,Other,template center masked,04/23/20 13:26:52,ramorgan2,288813926.0,30
58428.101,g,48.611,5.1563,4096,0.3670000000000001,31.621,2.136,23.7,14.6,1.01,87.11,3103.47,791221,34,5838043,Other,lensy,04/23/20 13:27:40,ramorgan2,287500215.0,30
58454.33900000001,z,127.55,14.928,4096,0.42,31.404,1.475,85.6,57.1,0.95,175.09,666.95,798753,27,5744132,Other,different kernels in diff smoothing,05/01/20 11:29:53,ramorgan2,279202819.0,31
58401.059,i,908.79,59.7,4098,0.336,31.663,2.397,59.3,27.3,1.02,808.35,2385.78,781975,43,5912923,Other,masking of very bright star,05/01/20 11:32:54,ramorgan2,292565020.0,32
58455.03400000001,i,31.73,7.7114,4096,0.335,31.686,1.567,63.2,36.2,0.97,87.94,3865.46,798928,11,5686739,Other,lensy with big arc,05/01/20 11:43:23,ramorgan2,280350013.0,32
58466.181,g,34.806,4.681,4096,0.305,31.656,1.714,22.2,10.0,0.92,2008.65,1549.09,802934,16,5782401,Other,lensy,05/01/20 11:31:41,ramorgan2,285533085.0,32
58380.362,i,92.188,14.151,4096,0.338,31.706,2.682,58.4,25.1,1.0,2026.82,3177.61,775560,36,5497601,Other,masked,05/01/20 11:30:56,ramorgan2,267171806.0,32
58449.224,i,56.857,7.2147,4096,0.382,31.7,1.291,63.8,29.7,0.91,24.29,1907.57,796779,7,5724636,Other,,05/01/20 11:36:17,ramorgan2,276115118.0,33
58439.047999999995,z,229.82,20.842,4096,0.57,31.44400000000001,2.016,97.0,41.3,0.9,1702.3,4072.36,794815,7,5677998,Other,,05/08/20 12:51:10,ramorgan2,274923877.0,33
58468.163,i,21.593000000000004,4.1856,4096,0.375,33.218,1.631,105.7,118.6,0.98,953.01,1473.3,803618,33,5773664,Other,lensy,05/01/20 11:35:47,ramorgan2,285953413.0,33
58438.059,i,83.89,12.481,4096,0.315,31.705,1.84,63.3,27.0,0.96,2026.43,892.36,794427,24,5585623,Other,masked,05/01/20 11:43:30,ramorgan2,273543600.0,33
58429.136,g,67.013,8.1263,4096,0.377,31.579,2.702,24.5,10.1,0.86,24.05,914.93,791642,7,5561364,Other,masked,05/07/20 13:17:50,ramorgan2,271856105.0,33
58449.147,z,58.706,11.354,4096,0.458,31.425,1.3259999999999998,78.9,43.9,0.98,1526.51,546.22,796731,44,5761609,Other,lensy,05/01/20 11:45:25,ramorgan2,284658738.0,34
58453.21,g,42.556,4.3583,4096,0.5329999999999999,31.59,2.012,19.7,9.8,0.92,2021.93,2786.4,798286,1,5653116,Other,,05/01/20 11:53:02,ramorgan2,278595532.0,34
58451.092000000004,r,29.607,4.5549,4096,0.05,31.766,1.5290000000000001,35.9,15.3,0.94,1989.98,1722.64,797445,39,5635930,Other,lensy,05/08/20 12:51:46,ramorgan2,277165841.0,35
58377.367,r,180.72,11.304,4096,0.39,31.791,3.004,34.2,16.0,0.97,2023.9,2783.29,774373,24,5819361,Other,,05/07/20 13:15:51,ramorgan2,286719260.0,35
58451.34099999999,i,60.143,6.5666,4096,0.375,31.715,1.39,57.9,28.7,0.96,24.89,1433.52,797617,62,5736558,Other,lensy,05/07/20 13:09:03,ramorgan2,283406122.0,35
58466.153,i,341.1,16.178,4610,0.32,31.73,1.707,58.8,25.8,0.98,21.66,3049.6,802915,51,5782494,Other,masked,05/07/20 13:16:17,ramorgan2,285560673.0,35
58482.112,g,10.819,2.8968,4098,0.282,32.946,2.62,32.9,38.0,1.04,1867.48,2049.9,807318,9,5869886,Other,,05/07/20 13:32:53,ramorgan2,289735330.0,36
58448.156,i,64.44800000000001,7.3798,4096,0.29,31.69,1.422,61.5,26.3,1.0,1801.54,24.05,796362,14,5738188,Other,masked,05/07/20 13:52:24,ramorgan2,283189630.0,36
58450.33,i,115.29,11.007,12288,0.778,31.697,1.683,69.9,46.3,0.96,688.99,2518.84,797225,24,5647059,Other,lensy,05/07/20 13:25:44,ramorgan2,276572037.0,36
58412.173,z,418.28,14.95,4096,0.359,31.511,1.766,79.2,43.3,0.93,1660.32,3482.68,785808,4,5533577,Other,maksing of moving object,05/07/20 13:51:57,ramorgan2,270056638.0,37
58454.252,g,20.312,3.8536,4096,0.34,31.611,1.913,20.3,8.3,0.9,1315.39,4074.41,798692,11,5675122,Other,masked,05/07/20 13:30:39,ramorgan2,280497967.0,37
58431.302,r,43.5,6.4371,4096,0.306,31.762,2.169,33.3,14.1,0.98,22.38,270.37,792539,14,5591237,Other,masked,05/07/20 13:55:13,ramorgan2,272662383.0,38
58450.33,i,148.16,11.776,4096,0.395,31.697,1.683,69.9,46.3,0.96,1660.97,3968.76,797225,24,5647114,Other,lensy double maybe,05/07/20 13:54:36,ramorgan2,276572136.0,38
58454.252,g,18.441,3.5959,4096,0.365,31.611,1.913,20.3,8.3,0.9,1986.24,282.04,798692,11,5675036,Other,lensy,05/08/20 12:51:56,ramorgan2,280497326.0,39
58410.305,g,126.3,7.4679,4096,0.315,31.643,2.46,24.5,11.5,0.93,1565.94,115.73,785097,13,5529906,Other,lensy,05/08/20 12:40:58,ramorgan2,269698380.0,39
58448.155999999995,i,55.63800000000001,7.337999999999999,4096,0.54,31.69,1.422,61.5,26.3,1.0,1914.67,126.55,796362,14,5744870,Other,masked,05/08/20 12:31:41,ramorgan2,283189645.0,39
58449.32,i,127.02,8.4492,4096,0.396,31.697,1.346,67.0,25.6,0.96,821.85,4075.19,796843,12,5646316,Other,masked,05/12/20 12:19:50,ramorgan2,276061634.0,40
58409.317,i,56.657,9.3493,4096,0.38,31.726,2.211,49.8,25.5,1.02,644.55,316.03,784703,43,5520638,Other,cool line of objects but bad sub,05/12/20 12:18:46,ramorgan2,269160934.0,40
58483.164000000004,r,30.28,3.5723,4096,0.34,33.069,2.194,56.7,53.3,0.99,1529.4,24.03,807647,51,5884386,Other,masked,05/08/20 12:49:47,ramorgan2,290442341.0,41
58468.172,i,21.874000000000002,4.9246,4096,0.37,33.228,1.828,102.4,98.2,1.05,1095.39,1112.23,803620,35,5766432,Other,globular cluster,05/08/20 12:45:31,ramorgan2,286123696.0,41
58482.066,r,31.502,5.4096,4096,0.23,31.743000000000002,1.916,31.4,25.2,1.04,1956.64,2167.18,807299,19,5868709,Other,lensy cross,05/08/20 12:47:37,ramorgan2,288785375.0,41
58455.135,g,833.37,24.794,4098,0.423,31.621,2.6830000000000003,17.7,12.6,1.03,20.83,851.98,798989,6,5672097,Other,masked,05/08/20 12:55:29,ramorgan2,280328812.0,42
58379.375,g,55.935,7.7708,4096,0.4370000000000001,31.603,3.095,23.4,10.8,0.92,1858.48,3724.69,775193,1,5497778,Other,lensy,05/08/20 12:54:51,ramorgan2,266357982.0,42
58482.09099999999,g,32.588,7.7059,4608,0.114,32.964,2.364,33.8,36.5,1.03,692.76,532.92,807313,52,5880517,Other,masked a lot,05/15/20 12:22:21,ramorgan2,289222954.0,42
58468.045,z,92.216,18.991,4096,0.107,32.925,2.031,173.3,184.9,0.95,343.99,37.75,803527,34,5802158,Other,too much smoothing,05/12/20 12:21:41,ramorgan2,285829080.0,42
58482.09099999999,g,29.282,7.6648,4096,0.203,32.964,2.364,33.8,36.5,1.03,1512.98,904.8,807313,52,5872745,Other,masked,05/12/20 12:39:00,ramorgan2,289223168.0,43
58455.292,g,33.374,7.2238,4096,0.3,31.601,2.435,20.4,11.0,0.91,2026.81,3259.72,799084,45,5680194,Other,masked,05/12/20 12:27:17,ramorgan2,280829979.0,43
58455.285,r,62.054,4.7574,4098,0.425,31.755,1.755,31.4,13.5,0.96,2028.51,3419.58,799079,48,5682277,Other,masked,05/12/20 12:26:38,ramorgan2,280973900.0,43
58375.287,g,35.183,4.0353,4096,0.355,31.593000000000004,1.944,21.0,10.3,1.04,2026.16,373.47,773362,41,5473696,Other,masked,05/12/20 12:46:58,ramorgan2,265373043.0,44
58468.045,z,61.431999999999995,14.177,4096,0.135,32.925,2.031,173.3,184.9,0.95,1656.02,2216.83,803527,34,5800404,Other,masked,05/15/20 12:25:29,ramorgan2,285829796.0,45
58483.101,g,50.999,3.8221,4608,0.195,32.942,2.26,33.9,32.7,1.07,828.07,1546.06,807631,20,5871827,Other,smoothing artifact,05/17/20 17:53:00,ramorgan2,290599119.0,45
58428.125,i,186.18,11.928,4096,0.5,31.682,2.293,55.2,24.5,0.96,1486.72,4075.47,791238,12,5836172,Other,masked,05/20/20 10:02:01,ramorgan2,287115485.0,45
58392.193,i,137.06,12.263,4096,0.423,31.695999999999998,2.188,65.3,23.3,0.98,2027.72,2629.19,779563,30,5507956,Other,masked,05/27/20 20:17:39,ashandonay,268104736.0,46
58468.172,i,35.946,5.9075,4096,0.3720000000000001,33.228,1.828,102.4,98.2,1.05,286.52,87.28,803620,35,5766375,Other,masked,05/27/20 19:54:43,ashandonay,286123373.0,46
58483.100999999995,g,34.913000000000004,3.7817,4096,0.27,32.942,2.26,33.9,32.7,1.07,1087.14,865.52,807631,20,5871822,Other,bad smoothing of bright object,05/27/20 13:11:09,ramorgan2,290597923.0,47
58482.167,r,18.147,3.6627,4608,0.08800000000000001,33.089,1.938,48.7,49.2,1.04,78.43,2360.12,807332,52,5878837,Other,masked,05/27/20 18:59:45,ramorgan2,289814118.0,47
58468.172,i,26.324,6.1267,4096,0.259,33.228,1.828,102.4,98.2,1.05,286.52,1452.41,803620,35,5775109,Other,masked,05/27/20 13:12:40,ramorgan2,286123798.0,47
58451.13,g,20.861,3.1846,4096,0.457,31.649,1.65,25.3,16.2,0.95,290.59,3901.84,797472,27,5652006,Other,masked,06/01/20 20:46:24,ashandonay,278512192.0,48
58376.3,r,69.255,9.0399,4096,0.325,31.755,2.741,35.8,17.7,1.01,1737.53,3900.64,773791,44,5476324,Other,masked,05/27/20 20:51:01,ashandonay,265495792.0,48
58452.325999999994,r,29.595,4.5595,4096,0.39299999999999996,31.753,1.431,40.8,16.4,0.96,1347.08,4074.34,797987,48,5845899,Other,masked,05/27/20 20:18:05,ashandonay,277242678.0,48
58375.383,g,37.095,5.0404,12288,0.7070000000000001,31.599,2.287,22.4,9.3,0.92,1433.88,1145.14,773430,1,5922592,Other,weird vertical line in search,05/27/20 21:00:21,ramorgan2,297722701.0,48
58440.02400000001,z,198.19,23.408,4608,0.335,31.496,2.114,107.4,48.0,0.98,124.93,3986.31,795201,6,5745647,Other,MASK,07/10/20 10:12:10,tabbutt,274081142.0,49
58439.34099999999,i,49.994,9.6198,4096,0.51,31.72,2.067,52.4,29.3,1.0,756.98,3927.59,795007,36,5677153,Other,lensy,05/29/20 12:05:07,ramorgan2,274365321.0,49
58380.31200000001,i,91.548,17.031,4096,0.355,31.678,2.171,57.5,30.4,1.05,282.25,3541.21,775527,35,5516889,Other,lensing?,05/29/20 12:06:08,tabbutt,266832876.0,49
58468.172,i,27.034000000000002,5.0448,4096,0.18,33.228,1.828,102.4,98.2,1.05,1849.42,2869.54,803620,35,5775186,Other,masked,06/01/20 20:46:10,ashandonay,286124241.0,50
58468.172,i,31.386999999999997,6.4053,4096,0.253,33.228,1.828,102.4,98.2,1.05,291.39,1264.99,803620,35,5776233,Other,masked,06/01/20 20:43:15,ashandonay,286123738.0,50
58428.073,r,1476.4,114.8,4610,0.332,31.730999999999998,2.21,33.6,15.9,0.98,1765.06,3917.18,791202,62,5824028,Other,masked,06/01/20 20:45:56,ramorgan2,286979909.0,50
58467.098,z,142.33,30.079,4096,0.28,30.986,1.944,93.2,35.7,0.97,528.44,4068.74,803206,26,5729359,Other,masked,06/01/20 20:42:10,ashandonay,285658086.0,50
58430.239,r,55.174,6.9767,4096,0.31,31.756,2.252,34.0,14.8,0.98,654.84,3425.18,792105,40,5828980,Other,lensy,05/27/20 19:11:37,ramorgan2,287210079.0,51
58451.038,g,44.437,3.7057,4096,0.325,31.624,1.4340000000000002,23.0,10.1,0.95,683.03,4030.79,797407,30,5625248,Other,mega lensy,05/27/20 19:26:29,ramorgan2,276644743.0,51
58410.294,z,105.1,29.04300000000001,4096,0.345,31.46,3.201,80.8,42.4,0.98,28.0,3500.24,785089,49,5530129,Other,masked,05/28/20 13:44:44,ramorgan2,269761070.0,53
58429.35400000001,i,75.953,12.916,4096,0.345,31.697,2.111,74.7,26.4,0.99,1091.63,2411.53,791790,9,5829758,Other,lensy,05/31/20 18:56:22,ramorgan2,287234582.0,54
58465.085,z,409.08,35.993,12288,0.815,31.43,2.523,72.2,59.8,0.97,1246.96,3491.98,802543,37,5765838,Other,masked,05/29/20 13:01:09,ramorgan2,284800567.0,54
58468.074,z,35.716,8.1447,4096,0.495,32.937,1.645,161.5,154.9,0.97,511.24,2975.66,803534,22,5893515,Other,masked,05/29/20 12:53:48,ramorgan2,285838919.0,54
58451.351,z,86.368,12.045,4098,0.47,31.4,1.401,77.3,38.0,0.95,205.93,4073.75,797624,23,5692064,Other,masked,05/28/20 13:50:16,ramorgan2,277675173.0,54
58439.131,i,84.236,9.5706,4096,0.365,31.712,1.713,64.2,28.5,1.0,2015.83,839.32,794871,40,5602356,Other,masked,05/28/20 13:45:52,ramorgan2,275131298.0,54
58430.239,r,34.067,6.5143,4096,0.38,31.756,2.252,34.0,14.8,0.98,1453.73,2466.46,792105,40,5828974,Other,lens ?,07/10/20 10:21:50,tabbutt,287209994.0,55
58448.058,g,38.17,5.976,4096,0.302,31.621,2.0780000000000003,21.4,10.0,0.91,1033.24,2871.87,796298,45,5595690,Other,lens ?,07/10/20 10:13:56,tabbutt,274547834.0,55
58419.25700000001,i,63.729,11.327,4096,0.343,31.666,1.67,79.1,25.8,0.99,29.61,3546.98,788187,44,5543978,Other,mask,05/29/20 12:10:57,tabbutt,271018853.0,55
58450.34400000001,z,78.357,16.56,4096,0.33,31.384,1.521,95.4,25.6,0.9,1658.72,3861.07,797235,58,5744957,Other,lens?,05/29/20 12:09:27,tabbutt,283927998.0,55
58438.280999999995,g,46.691,4.5989,4096,0.429,31.605,2.04,21.7,10.7,0.91,244.8,2559.25,794573,45,5615689,Other,vertical line artifact,05/29/20 13:05:15,ramorgan2,275550333.0,56
58376.269,g,64.867,6.7628,4096,0.41,31.647,2.075,19.5,10.7,0.95,1840.7,3614.68,773772,23,5814418,Other,lensy,05/29/20 12:55:44,ramorgan2,286629002.0,56
58431.352999999996,i,109.85,8.9288,4096,0.515,31.704,1.733,57.8,23.1,1.02,825.85,3988.81,792571,49,5574240,Other,lensy,05/29/20 13:05:43,ramorgan2,272886751.0,56
58468.074,z,72.561,12.823,4096,0.23199999999999998,32.937,1.645,161.5,154.9,0.97,208.33,3103.16,803534,22,5783813,Other,real messed up,05/29/20 13:16:28,ramorgan2,285839160.0,57
58376.342000000004,g,28.554000000000002,6.4582,4096,0.447,31.616,2.8739999999999997,19.5,8.5,1.01,21.04,3853.57,773820,44,5479293,Other,masjed,05/29/20 13:16:40,ramorgan2,265604435.0,57
58409.345,i,66.53699999999999,11.671,4096,0.445,31.727,2.359,55.1,25.0,0.99,1968.28,2636.97,784723,44,5523837,Other,lensy,05/31/20 18:48:33,ramorgan2,269237127.0,57
